category,word
zivotinje,slon
zivotinje,leptir
zivotinje,delfin
zivotinje,pingvin
zivotinje,zirafa
zivotinje,kengur
zivotinje,hobotnica
zivotinje,jez
zivotinje,flamingo
zivotinje,veverica
zivotinje,koala
zivotinje,tigar
zivotinje,panda
zivotinje,zebra
zivotinje,gorila
zivotinje,jaguar
zivotinje,leopard
zivotinje,paun
zivotinje,papagaj
zivotinje,krokodil
zivotinje,kornjaca
zivotinje,hrčak
zivotinje,zamorac
zivotinje,lisica
zivotinje,vuk
zivotinje,medved
zivotinje,lav
zivotinje,majmun
zivotinje,zmija
zivotinje,zec
tehnologija,računar
tehnologija,tastatura
tehnologija,pametni telefon
tehnologija,robot
tehnologija,satelit
tehnologija,mikročip
tehnologija,algoritam
tehnologija,baza podataka
tehnologija,zaštitni zid
tehnologija,enkripcija
tehnologija,hologram
tehnologija,procesor
tehnologija,bluetooth
tehnologija,veb kamera
tehnologija,ruter
tehnologija,dron
tehnologija,server
tehnologija,slušalice
tehnologija,ekran na dodir
tehnologija,štampač
tehnologija,laptop
tehnologija,tablet
tehnologija,pametni sat
tehnologija,virtuelna realnost
tehnologija,veštačka inteligencija
tehnologija,mašinsko učenje
tehnologija,blokčejn
tehnologija,kriptovaluta
tehnologija,biometrija
tehnologija,internet stvari
tehnologija,sajber bezbednost
tehnologija,automatizacija
tehnologija,robotika
tehnologija,3D štampanje
tehnologija,glasovni asistent
tehnologija,prepoznavanje lica
tehnologija,GPS
tehnologija,bežično punjenje
tehnologija,društvene mreže
tehnologija,pretraživač
tehnologija,veb pregledač
tehnologija,operativni sistem
tehnologija,softver
tehnologija,aplikacija
tehnologija,programiranje
tehnologija,kodiranje
hrana,čokolada
hrana,špagete
hrana,avokado
hrana,palačinka
hrana,kroasan
hrana,suši
hrana,burito
hrana,kokice
hrana,čizkejk
hrana,lazanje
hrana,pereca
hrana,vafl
hrana,humus
hrana,kolač
hrana,omlet
hrana,ćevapi
hrana,sarma
hrana,pica
hrana,hamburger
hrana,sendvič
hrana,salata
hrana,biftek
hrana,losos
hrana,škampi
hrana,pečurke
hrana,špargle
hrana,brokoli
hrana,spanać
hrana,paradajz
hrana,krastavac
hrana,šargarepa
hrana,krompir
hrana,bundeva
hrana,tikvice
hrana,luk
hrana,beli luk
hrana,đumbir
hrana,cimet
hrana,vanila
hrana,biber
hrana,so
hrana,šećer
hrana,med
hrana,javorov sirup
hrana,maslinovo ulje
hrana,puter
hrana,sir
hrana,jogurt
hrana,sladoled
hrana,puding
hrana,palačinke
hrana,krofna
hrana,mafin
hrana,kifla
hrana,bagel
hrana,hleb
hrana,tortilja
hrana,pita
hrana,knedla
hrana,kari
hrana,rezanci
hrana,kiseli kupus
hrana,slanina
hrana,kobasica
sport,košarka
sport,odbojka
sport,skejt
sport,surfovanje
sport,snoubord
sport,maraton
sport,gimnastika
